"name","downloadsLink","year","day"
"VNP46A2.A2022339.h00v01.001.2022347152718.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v01.001.2022347152718.h5",2022,"339"
"VNP46A2.A2022339.h00v02.001.2022347172330.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v02.001.2022347172330.h5",2022,"339"
"VNP46A2.A2022339.h00v03.001.2022347180021.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v03.001.2022347180021.h5",2022,"339"
"VNP46A2.A2022339.h00v06.001.2022347172148.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v06.001.2022347172148.h5",2022,"339"
"VNP46A2.A2022339.h00v09.001.2022347172312.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v09.001.2022347172312.h5",2022,"339"
"VNP46A2.A2022339.h00v10.001.2022347172305.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v10.001.2022347172305.h5",2022,"339"
"VNP46A2.A2022339.h00v11.001.2022347172413.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v11.001.2022347172413.h5",2022,"339"
"VNP46A2.A2022339.h00v13.001.2022347180651.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v13.001.2022347180651.h5",2022,"339"
"VNP46A2.A2022339.h00v14.001.2022347200158.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v14.001.2022347200158.h5",2022,"339"
"VNP46A2.A2022339.h00v15.001.2022347201543.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/2022/339/VNP46A2.A2022339.h00v15.001.2022347201543.h5",2022,"339"
