"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2022152.h23v06.001.2022235112555.h5","2022-08-23 11:32",12814598,1661254346,1599057158,"e5bfe93d493a05bd15a6ce2e7d96255e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v06.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h23v07.001.2022235112555.h5","2022-08-23 11:32",3348820,1661254346,3071913291,"89558f612d5ee7e8ff92adc4aeaa35d6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v07.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h23v08.001.2022235112556.h5","2022-08-23 11:31",754851,1661254286,2299271565,"f68b6dd583eb72f5746e8239a6965553","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v08.001.2022235112556.h5",2022,"152","06"
"VNP46A3.A2022152.h23v09.001.2022235112555.h5","2022-08-23 11:31",652293,1661254316,304042554,"9df5754bbb5920cfc492c74bfde49211","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v09.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h23v10.001.2022235112554.h5","2022-08-23 11:31",795262,1661254316,673714616,"18672ff2509d007665430b695e8a3ce1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v10.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h23v11.001.2022235112552.h5","2022-08-23 11:31",848933,1661254286,1280329715,"8857c632cfabed3bdcb6d19b993568a7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v11.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h23v13.001.2022235112554.h5","2022-08-23 11:31",632022,1661254316,3483808054,"e0f757c983aaf7838eed4dd4ba6fd0e5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v13.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h23v15.001.2022235112553.h5","2022-08-23 11:31",6175233,1661254286,1822319437,"60f6913e9a4039ab2fec2944815a6ccc","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h23v15.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h24v00.001.2022235112550.h5","2022-08-23 11:26",607368,1661254016,2867555993,"6b8b3c47b589edf19b9ac47805d8dc42","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v00.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h24v01.001.2022235112551.h5","2022-08-23 11:27",607368,1661254046,2023243836,"59b6255c076982035c998e9e5aa9dce3","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v01.001.2022235112551.h5",2022,"152","06"
