"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day"
"VNP46A4.A2012001.h01v02.001.2021124150642.h5","2021-05-04 22:46",18388011,1620168392,2472027805,"3c3777c37817dbd2f88f5b72ae7429b6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v02.001.2021124150642.h5",2012,"001"
"VNP46A4.A2012001.h01v03.001.2021124174338.h5","2021-05-05 02:13",3781766,1620180833,752884727,"106977c5f422014798c2ce261f1d17a8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v03.001.2021124174338.h5",2012,"001"
"VNP46A4.A2012001.h01v04.001.2021124180450.h5","2021-05-04 23:44",633832,1620171873,1639274060,"01d3ed82ae98920e93d63dc3a72ef573","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v04.001.2021124180450.h5",2012,"001"
"VNP46A4.A2012001.h01v05.001.2021124175124.h5","2021-05-04 23:21",634426,1620170462,1227841267,"b878bbccfe2404082dd7c957a3d25aa0","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v05.001.2021124175124.h5",2012,"001"
"VNP46A4.A2012001.h01v06.001.2021124123435.h5","2021-05-04 22:00",650769,1620165602,2228737353,"9155095da0fc0278c0234513394a77fa","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v06.001.2021124123435.h5",2012,"001"
"VNP46A4.A2012001.h01v07.001.2021124123140.h5","2021-05-04 18:24",637563,1620152673,335875116,"dd850a28fb3576e47eda69074c19e2b9","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v07.001.2021124123140.h5",2012,"001"
"VNP46A4.A2012001.h01v08.001.2021124174524.h5","2021-05-05 02:23",643110,1620181433,1697440456,"89948ed20445c0800b4fe0a464d88736","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v08.001.2021124174524.h5",2012,"001"
"VNP46A4.A2012001.h01v09.001.2021124174503.h5","2021-05-04 23:35",634551,1620171332,1834861354,"df0550d36da9d2d991d9e55a557e323f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v09.001.2021124174503.h5",2012,"001"
"VNP46A4.A2012001.h01v10.001.2021124174648.h5","2021-05-04 23:20",672042,1620170432,1333904181,"e47cc4ab2fdaa1f792aec96d45cf6e62","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v10.001.2021124174648.h5",2012,"001"
"VNP46A4.A2012001.h01v11.001.2021124180719.h5","2021-05-04 23:37",633696,1620171453,1247943250,"1481491331e3e43d4c1d3b3ce4ae5572","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v11.001.2021124180719.h5",2012,"001"
