"name","downloadsLink","year","day"
"VNP46A1.A2016246.h00v01.001.2019177073620.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v01.001.2019177073620.h5",2016,"246"
"VNP46A1.A2016246.h00v02.001.2019177073526.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v02.001.2019177073526.h5",2016,"246"
"VNP46A1.A2016246.h00v03.001.2019177075613.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v03.001.2019177075613.h5",2016,"246"
"VNP46A1.A2016246.h00v04.001.2019177081554.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v04.001.2019177081554.h5",2016,"246"
"VNP46A1.A2016246.h00v05.001.2019177073601.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v05.001.2019177073601.h5",2016,"246"
"VNP46A1.A2016246.h00v06.001.2019177081810.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v06.001.2019177081810.h5",2016,"246"
"VNP46A1.A2016246.h00v07.001.2019177083646.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v07.001.2019177083646.h5",2016,"246"
"VNP46A1.A2016246.h00v08.001.2019177085944.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v08.001.2019177085944.h5",2016,"246"
"VNP46A1.A2016246.h00v09.001.2019177085236.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v09.001.2019177085236.h5",2016,"246"
"VNP46A1.A2016246.h00v10.001.2019177075547.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v10.001.2019177075547.h5",2016,"246"
"VNP46A1.A2016246.h00v11.001.2019177081842.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v11.001.2019177081842.h5",2016,"246"
"VNP46A1.A2016246.h00v12.001.2019177072602.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v12.001.2019177072602.h5",2016,"246"
"VNP46A1.A2016246.h00v13.001.2019177073608.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2016/246/VNP46A1.A2016246.h00v13.001.2019177073608.h5",2016,"246"
