"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2015060.h29v07.001.2021125134010.h5","2021-05-05 13:49",1248467,1620222593,499436737,"8d827b6918e656004545d9fb49b541f2","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v07.001.2021125134010.h5",2015,"060","03"
"VNP46A3.A2015060.h29v08.001.2021125115651.h5","2021-05-05 12:05",6678655,1620216317,3185727456,"d6440ee02cc54eb93ccfba82ab03c820","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v08.001.2021125115651.h5",2015,"060","03"
"VNP46A3.A2015060.h29v09.001.2021125115708.h5","2021-05-05 12:04",7025323,1620216257,3671416653,"1bae006dfa8da8160e5355fb62e73cc6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v09.001.2021125115708.h5",2015,"060","03"
"VNP46A3.A2015060.h29v10.001.2021125115656.h5","2021-05-05 12:03",619052,1620216197,1310428351,"e6838a75ba7328c31f8a268c71fb039d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v10.001.2021125115656.h5",2015,"060","03"
"VNP46A3.A2015060.h29v11.001.2021125115641.h5","2021-05-05 12:05",6149835,1620216317,2106649456,"0f666eb1a20343e78b38a3deb6b25802","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v11.001.2021125115641.h5",2015,"060","03"
"VNP46A3.A2015060.h29v12.001.2021125115655.h5","2021-05-05 12:05",3242741,1620216317,61181940,"2a00ea0516e8e2e042d28b0f63982ab5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v12.001.2021125115655.h5",2015,"060","03"
"VNP46A3.A2015060.h29v15.001.2021125115647.h5","2021-05-05 12:04",2938726,1620216257,2445401280,"817fa58953cc554a1a43f17ce87c3521","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v15.001.2021125115647.h5",2015,"060","03"
"VNP46A3.A2015060.h29v16.001.2021125115650.h5","2021-05-05 12:03",2208164,1620216197,1542313685,"38aca4a7805857e86098750a9fa8f3ba","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v16.001.2021125115650.h5",2015,"060","03"
"VNP46A3.A2015060.h29v17.001.2021125160304.h5","2021-05-05 16:20",608728,1620231608,2547033251,"97bc7d773a36ad2e5695f7ebfdb18604","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h29v17.001.2021125160304.h5",2015,"060","03"
"VNP46A3.A2015060.h30v01.001.2021125141207.h5","2021-05-05 14:17",8092818,1620224273,2794924693,"468f9ab351b0e8718b66af279a47af4f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v01.001.2021125141207.h5",2015,"060","03"
"VNP46A3.A2015060.h30v02.001.2021125115717.h5","2021-05-05 12:07",28746451,1620216467,3579943291,"410838bf68dd22175199fd47a97fe0c5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v02.001.2021125115717.h5",2015,"060","03"
"VNP46A3.A2015060.h30v03.001.2021125115706.h5","2021-05-05 12:06",28876112,1620216408,3131255174,"c625ca95edf7b94bb5fa0a42bed36ef4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v03.001.2021125115706.h5",2015,"060","03"
"VNP46A3.A2015060.h30v04.001.2021125134205.h5","2021-05-05 13:53",25567747,1620222833,2050270713,"740fa6f9029a894574e6889d56afd5aa","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v04.001.2021125134205.h5",2015,"060","03"
"VNP46A3.A2015060.h30v05.001.2021125115717.h5","2021-05-05 12:06",11870061,1620216377,349442442,"bfd8a5239668e52108e12d82d664db65","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v05.001.2021125115717.h5",2015,"060","03"
"VNP46A3.A2015060.h30v06.001.2021125115736.h5","2021-05-05 12:05",4148628,1620216317,700464033,"0e2a47f6341ef1d77a30dbf264728f52","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2015/060/VNP46A3.A2015060.h30v06.001.2021125115736.h5",2015,"060","03"
