"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2019001.h00v01.001.2021124233945.h5","2021-05-04 23:49",967052,1620172172,3234790371,"ece19a3da28554f98a361d447aee9176","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v01.001.2021124233945.h5",2019,"001","01"
"VNP46A3.A2019001.h00v02.001.2021124234014.h5","2021-05-04 23:56",6000044,1620172562,3746538456,"950ed9da83cfaeca6a23f1fac5d8e758","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v02.001.2021124234014.h5",2019,"001","01"
"VNP46A3.A2019001.h00v03.001.2021124233948.h5","2021-05-04 23:49",957788,1620172142,3281303315,"05c81fc6c00f6c36b4db5c719b772d37","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v03.001.2021124233948.h5",2019,"001","01"
"VNP46A3.A2019001.h00v06.001.2021124233926.h5","2021-05-04 23:46",613382,1620171992,924002919,"b9101011dcbfd26176fb666b90a3414d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v06.001.2021124233926.h5",2019,"001","01"
"VNP46A3.A2019001.h00v09.001.2021124233934.h5","2021-05-04 23:51",627450,1620172292,3534860318,"611bb06ea81f5c61c88f246c554df1a1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v09.001.2021124233934.h5",2019,"001","01"
"VNP46A3.A2019001.h00v10.001.2021124233928.h5","2021-05-04 23:48",791375,1620172082,1921807545,"d2c094d2836dbfbec15bf1f23517d57f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v10.001.2021124233928.h5",2019,"001","01"
"VNP46A3.A2019001.h00v11.001.2021124234009.h5","2021-05-04 23:54",650141,1620172442,349834247,"7b81566359c34621c2eea1cf32f50701","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v11.001.2021124234009.h5",2019,"001","01"
"VNP46A3.A2019001.h00v13.001.2021124233928.h5","2021-05-04 23:45",654505,1620171902,8602729,"476684f90776d9dc306d0eed7d77a308","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v13.001.2021124233928.h5",2019,"001","01"
"VNP46A3.A2019001.h00v14.001.2021124233920.h5","2021-05-04 23:45",608904,1620171902,3560420989,"99ca3ebd26a03b37e3e1f0b271412daa","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v14.001.2021124233920.h5",2019,"001","01"
"VNP46A3.A2019001.h00v15.001.2021125070849.h5","2021-05-05 07:18",608904,1620199123,1346590103,"730a5d96b7e2acb0cfd27c9c9074a5c1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h00v15.001.2021125070849.h5",2019,"001","01"
"VNP46A3.A2019001.h01v02.001.2021124233943.h5","2021-05-04 23:47",12250876,1620172022,1647788861,"5709a035b4b47f3140fc6d0738cb2fa1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h01v02.001.2021124233943.h5",2019,"001","01"
"VNP46A3.A2019001.h01v03.001.2021124233939.h5","2021-05-04 23:45",2935064,1620171932,1316978926,"94a6b51d33e03ed67b190079e4085214","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h01v03.001.2021124233939.h5",2019,"001","01"
"VNP46A3.A2019001.h01v06.001.2021125034305.h5","2021-05-05 03:55",618561,1620186915,1761697055,"23fcf76baea19fc5d7bd30614cd8bc2a","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h01v06.001.2021125034305.h5",2019,"001","01"
"VNP46A3.A2019001.h01v08.001.2021124233956.h5","2021-05-04 23:52",612518,1620172322,3820254845,"88118383bcd2a28f31c512a18b881867","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h01v08.001.2021124233956.h5",2019,"001","01"
"VNP46A3.A2019001.h02v01.001.2021124233959.h5","2021-05-04 23:51",2895912,1620172262,3558527853,"6309edb669025d80e95db2dff454127b","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2019/001/VNP46A3.A2019001.h02v01.001.2021124233959.h5",2019,"001","01"
