"name","downloadsLink","year","day"
"VNP46A1.A2020286.h00v00.001.2020287072230.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v00.001.2020287072230.h5",2020,"286"
"VNP46A1.A2020286.h00v01.001.2020287072333.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v01.001.2020287072333.h5",2020,"286"
"VNP46A1.A2020286.h00v02.001.2020287072229.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v02.001.2020287072229.h5",2020,"286"
"VNP46A1.A2020286.h00v03.001.2020287072350.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v03.001.2020287072350.h5",2020,"286"
"VNP46A1.A2020286.h00v04.001.2020287072221.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v04.001.2020287072221.h5",2020,"286"
"VNP46A1.A2020286.h00v05.001.2020287072254.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v05.001.2020287072254.h5",2020,"286"
"VNP46A1.A2020286.h00v06.001.2020287072240.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v06.001.2020287072240.h5",2020,"286"
"VNP46A1.A2020286.h00v07.001.2020287072501.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v07.001.2020287072501.h5",2020,"286"
"VNP46A1.A2020286.h00v08.001.2020287072212.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v08.001.2020287072212.h5",2020,"286"
"VNP46A1.A2020286.h00v09.001.2020287072349.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v09.001.2020287072349.h5",2020,"286"
"VNP46A1.A2020286.h00v10.001.2020287072203.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v10.001.2020287072203.h5",2020,"286"
"VNP46A1.A2020286.h00v11.001.2020287072256.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v11.001.2020287072256.h5",2020,"286"
"VNP46A1.A2020286.h00v12.001.2020287072237.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v12.001.2020287072237.h5",2020,"286"
"VNP46A1.A2020286.h00v13.001.2020287072111.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v13.001.2020287072111.h5",2020,"286"
"VNP46A1.A2020286.h00v14.001.2020287072507.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/286/VNP46A1.A2020286.h00v14.001.2020287072507.h5",2020,"286"
