"name","downloadsLink","year","day"
"VNP46A1.A2017227.h00v02.001.2019186222248.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v02.001.2019186222248.h5",2017,"227"
"VNP46A1.A2017227.h00v03.001.2019186221613.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v03.001.2019186221613.h5",2017,"227"
"VNP46A1.A2017227.h00v04.001.2019186221903.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v04.001.2019186221903.h5",2017,"227"
"VNP46A1.A2017227.h00v05.001.2019186221448.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v05.001.2019186221448.h5",2017,"227"
"VNP46A1.A2017227.h00v06.001.2019186221708.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v06.001.2019186221708.h5",2017,"227"
"VNP46A1.A2017227.h00v07.001.2019186221703.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v07.001.2019186221703.h5",2017,"227"
"VNP46A1.A2017227.h00v08.001.2019186221412.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v08.001.2019186221412.h5",2017,"227"
"VNP46A1.A2017227.h00v09.001.2019186235427.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v09.001.2019186235427.h5",2017,"227"
"VNP46A1.A2017227.h00v10.001.2019186223902.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v10.001.2019186223902.h5",2017,"227"
"VNP46A1.A2017227.h00v11.001.2019186224812.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v11.001.2019186224812.h5",2017,"227"
"VNP46A1.A2017227.h00v12.001.2019186222543.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v12.001.2019186222543.h5",2017,"227"
"VNP46A1.A2017227.h00v13.001.2019186221624.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v13.001.2019186221624.h5",2017,"227"
"VNP46A1.A2017227.h00v14.001.2019186221758.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v14.001.2019186221758.h5",2017,"227"
"VNP46A1.A2017227.h00v15.001.2019186224037.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v15.001.2019186224037.h5",2017,"227"
"VNP46A1.A2017227.h00v16.001.2019186222459.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2017/227/VNP46A1.A2017227.h00v16.001.2019186222459.h5",2017,"227"
