"name","downloadsLink","year","day"
"VNP46A1.A2014168.h00v03.001.2019128102012.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v03.001.2019128102012.h5",2014,"168"
"VNP46A1.A2014168.h00v04.001.2019128110638.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v04.001.2019128110638.h5",2014,"168"
"VNP46A1.A2014168.h00v05.001.2019128100944.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v05.001.2019128100944.h5",2014,"168"
"VNP46A1.A2014168.h00v06.001.2019128110346.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v06.001.2019128110346.h5",2014,"168"
"VNP46A1.A2014168.h00v07.001.2019128105332.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v07.001.2019128105332.h5",2014,"168"
"VNP46A1.A2014168.h00v08.001.2019128101347.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v08.001.2019128101347.h5",2014,"168"
"VNP46A1.A2014168.h00v09.001.2019128105723.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v09.001.2019128105723.h5",2014,"168"
"VNP46A1.A2014168.h00v10.001.2019128104853.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v10.001.2019128104853.h5",2014,"168"
"VNP46A1.A2014168.h00v11.001.2019128105527.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v11.001.2019128105527.h5",2014,"168"
"VNP46A1.A2014168.h00v12.001.2019128101019.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v12.001.2019128101019.h5",2014,"168"
"VNP46A1.A2014168.h00v13.001.2019128112601.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v13.001.2019128112601.h5",2014,"168"
"VNP46A1.A2014168.h00v14.001.2019128101551.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v14.001.2019128101551.h5",2014,"168"
"VNP46A1.A2014168.h00v15.001.2019128110427.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v15.001.2019128110427.h5",2014,"168"
"VNP46A1.A2014168.h00v16.001.2019128100744.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v16.001.2019128100744.h5",2014,"168"
"VNP46A1.A2014168.h00v17.001.2019128100833.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h00v17.001.2019128100833.h5",2014,"168"
"VNP46A1.A2014168.h01v03.001.2019128101839.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h01v03.001.2019128101839.h5",2014,"168"
"VNP46A1.A2014168.h01v04.001.2019128100956.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h01v04.001.2019128100956.h5",2014,"168"
"VNP46A1.A2014168.h01v05.001.2019128102009.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h01v05.001.2019128102009.h5",2014,"168"
"VNP46A1.A2014168.h01v06.001.2019128105337.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2014/168/VNP46A1.A2014168.h01v06.001.2019128105337.h5",2014,"168"
