"name","downloadsLink","year","day"
"VNP46A1.A2020034.h00v00.001.2020052081334.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v00.001.2020052081334.h5",2020,"034"
"VNP46A1.A2020034.h00v01.001.2020052081411.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v01.001.2020052081411.h5",2020,"034"
"VNP46A1.A2020034.h00v02.001.2020052080829.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v02.001.2020052080829.h5",2020,"034"
"VNP46A1.A2020034.h00v03.001.2020052075906.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v03.001.2020052075906.h5",2020,"034"
"VNP46A1.A2020034.h00v04.001.2020052080328.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v04.001.2020052080328.h5",2020,"034"
"VNP46A1.A2020034.h00v05.001.2020052082012.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v05.001.2020052082012.h5",2020,"034"
"VNP46A1.A2020034.h00v06.001.2020052081410.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v06.001.2020052081410.h5",2020,"034"
"VNP46A1.A2020034.h00v07.001.2020052082539.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v07.001.2020052082539.h5",2020,"034"
"VNP46A1.A2020034.h00v08.001.2020052081546.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v08.001.2020052081546.h5",2020,"034"
"VNP46A1.A2020034.h00v09.001.2020052081359.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v09.001.2020052081359.h5",2020,"034"
"VNP46A1.A2020034.h00v10.001.2020052080746.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v10.001.2020052080746.h5",2020,"034"
"VNP46A1.A2020034.h00v11.001.2020052081802.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v11.001.2020052081802.h5",2020,"034"
"VNP46A1.A2020034.h00v12.001.2020052080313.h5","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h00v12.001.2020052080313.h5",2020,"034"
